Severity,Temperature(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Speed(mph),Weather_Condition
3,35.10897283884189,49.96702437290534,28.27711251782769,6.093926309870536,16.496620293818747,Clear
4,46.280992312503,74.67467725125942,28.18226118876406,0.389034677630975,40.83692095425956,Clear
1,99.63663504830524,56.266678065633315,29.812575852230992,6.122603408767345,49.71884082524786,Fog
3,27.600614048384898,8.330258311179639,30.898348967478263,0.8966860676411625,42.03807689135228,Clear
3,101.75095587370399,18.55802367835554,29.50816392686417,7.103442385187472,17.30714632171461,Cloudy
4,-7.661179663263191,21.932818403091915,28.154545677817914,3.900776465809306,35.56261967064312,Rain
1,88.7517812092083,25.78642536448449,28.66365596823237,8.376964915685187,26.696172349553667,Rain
1,98.6566686276631,56.54033919505043,28.734378719247314,9.425292452651306,39.32588919417043,Fog
3,5.454471397227426,50.39657798253935,29.01357138741085,4.1711034146560895,7.654869732312086,Fog
2,40.24851453210806,20.316003836420894,28.130810150758638,4.605552954737462,31.906729632295196,Fog
3,3.1699684529117853,6.755484345568707,30.71467810149375,5.9014758101285025,38.68333866708673,Snow
3,78.92457805919048,17.14322044747181,29.546691834164484,1.9713272185805053,38.06156677033201,Rain
3,54.94868752863195,98.43813126186033,30.01279237886233,9.273328408283612,48.17965028018908,Thunderstorm
3,68.94526853916494,46.854694979147226,28.201518510685027,4.3299992650137265,2.9205690392160033,Cloudy
4,7.5081753738695625,86.73455047021125,28.162346403410947,1.6682033591600731,17.28896845461453,Clear
1,9.644420687338734,84.87524666688432,29.75940331612164,7.627318334188839,23.82767908957194,Cloudy
4,-14.190374428613108,51.15195574628737,30.661888031512625,2.1915137244398517,15.488176419604061,Cloudy
4,25.08945492740216,70.66877084605436,29.58544600287864,1.4352927507185498,15.489475683623544,Snow
4,58.3642525867145,19.275201041271227,30.633457517710212,5.628720754940071,8.806430334496318,Rain
3,100.11088795962603,68.83967049269083,30.432973819165717,6.714952552915908,40.64757015126039,Snow
